Price,Close,High,Low,Open,Volume
Ticker,^AXJO,^AXJO,^AXJO,^AXJO,^AXJO
Date,,,,,
2021-12-30,7513.39990234375,7520.60009765625,7499.5,7512.2001953125,365300
2021-12-31,7444.60009765625,7515.2998046875,7444.60009765625,7515.2998046875,272400
2022-01-04,7589.7998046875,7594.7001953125,7456.10009765625,7456.2001953125,491700
2022-01-05,7565.7998046875,7620.2001953125,7563.39990234375,7591.39990234375,472300
2022-01-06,7358.2998046875,7551.39990234375,7340.39990234375,7550.5,623900
2022-01-07,7453.2998046875,7484.60009765625,7376.7998046875,7377.10009765625,469100
2022-01-10,7447.10009765625,7460.2001953125,7409.89990234375,7460.2001953125,410100
2022-01-11,7390.10009765625,7440.7001953125,7376.7998046875,7439.2998046875,549600
2022-01-12,7438.89990234375,7467.5,7403.7001953125,7403.7001953125,569400
2022-01-13,7474.39990234375,7487.2998046875,7448.89990234375,7449.7001953125,605200
2022-01-14,7393.89990234375,7458.5,7386.7998046875,7457.2998046875,620000
2022-01-17,7417.2998046875,7429.2998046875,7385.7998046875,7395.2001953125,472800
2022-01-18,7408.7998046875,7445.10009765625,7398.2001953125,7424.39990234375,549300
2022-01-19,7332.5,7398.7001953125,7325.7001953125,7398.7001953125,697400
2022-01-20,7342.39990234375,7354.60009765625,7298.5,7333.7998046875,684500
2022-01-21,7175.7998046875,7320.7001953125,7153.2998046875,7320.60009765625,911000
2022-01-24,7139.5,7173.7001953125,7086.7998046875,7173.7001953125,760500
2022-01-25,6961.60009765625,7129.89990234375,6920.7001953125,7129.89990234375,1101100
2022-01-27,6838.2998046875,7042.7998046875,6758.2001953125,6971.10009765625,1178700
2022-01-28,6988.10009765625,7000.0,6837.89990234375,6865.39990234375,2091100
2022-01-31,6971.60009765625,7004.39990234375,6932.7001953125,6967.89990234375,759100
2022-02-01,7006.0,7043.60009765625,6945.7001953125,6958.2998046875,685800
2022-02-02,7087.7001953125,7107.2001953125,7022.89990234375,7031.2001953125,643500
2022-02-03,7078.0,7095.10009765625,7045.7998046875,7095.10009765625,628800
2022-02-04,7120.2001953125,7120.2001953125,7045.89990234375,7058.5,833700
2022-02-07,7110.7998046875,7128.2998046875,7046.5,7113.7998046875,617900
2022-02-08,7186.7001953125,7203.0,7116.39990234375,7120.39990234375,771000
2022-02-09,7268.2998046875,7268.2998046875,7183.0,7187.7001953125,978700
2022-02-10,7288.5,7336.60009765625,7260.7998046875,7261.7998046875,873700
2022-02-11,7217.2998046875,7294.39990234375,7191.7998046875,7293.7001953125,629400
2022-02-14,7243.89990234375,7263.60009765625,7181.7001953125,7201.2998046875,749300
2022-02-15,7206.89990234375,7251.39990234375,7198.0,7251.39990234375,730100
2022-02-16,7284.89990234375,7284.89990234375,7201.0,7201.2001953125,796100
2022-02-17,7296.2001953125,7356.7998046875,7282.2998046875,7295.7001953125,846600
2022-02-18,7221.7001953125,7278.60009765625,7201.89990234375,7278.2001953125,764000
2022-02-21,7233.60009765625,7248.7998046875,7156.2998046875,7220.39990234375,712000
2022-02-22,7161.2998046875,7222.7998046875,7108.7998046875,7219.7998046875,863800
2022-02-23,7205.7001953125,7205.7001953125,7145.39990234375,7159.39990234375,788400
2022-02-24,6990.60009765625,7152.89990234375,6959.2998046875,7152.89990234375,1109300
2022-02-25,6997.7998046875,7045.60009765625,6974.89990234375,7000.10009765625,888800
2022-02-28,7049.10009765625,7049.60009765625,6979.39990234375,7022.2001953125,1007600
2022-03-01,7096.5,7159.89990234375,7059.60009765625,7061.0,812800
2022-03-02,7116.7001953125,7121.5,7041.89990234375,7098.7001953125,941000
2022-03-03,7151.39990234375,7198.10009765625,7151.39990234375,7152.2998046875,856200
2022-03-04,7110.7998046875,7147.5,7025.2001953125,7147.5,972300
2022-03-07,7038.60009765625,7133.7001953125,7010.5,7117.89990234375,1017400
2022-03-08,6980.2998046875,7053.5,6980.2998046875,7027.5,973800
2022-03-09,7053.0,7072.0,6968.89990234375,6969.7998046875,1042400
2022-03-10,7130.7998046875,7161.0,7039.7001953125,7039.7001953125,1011400
2022-03-11,7063.60009765625,7151.39990234375,7051.2001953125,7137.89990234375,816800
2022-03-14,7149.39990234375,7149.39990234375,7069.7998046875,7069.7998046875,610100
2022-03-15,7097.39990234375,7121.10009765625,7080.7001953125,7121.10009765625,789000
2022-03-16,7175.2001953125,7180.2001953125,7100.2998046875,7100.5,704800
2022-03-17,7250.7998046875,7296.7998046875,7203.89990234375,7204.5,840800
2022-03-18,7294.39990234375,7294.39990234375,7245.89990234375,7260.0,1543800
2022-03-21,7278.5,7350.39990234375,7278.5,7303.10009765625,563700
2022-03-22,7341.10009765625,7377.2998046875,7312.10009765625,7313.39990234375,661000
2022-03-23,7377.89990234375,7386.89990234375,7329.7998046875,7330.0,579400
2022-03-24,7387.10009765625,7399.39990234375,7356.2001953125,7377.5,648900
2022-03-25,7406.2001953125,7431.2998046875,7387.10009765625,7387.10009765625,679600
2022-03-28,7412.39990234375,7446.7001953125,7412.39990234375,7417.7998046875,567000
2022-03-29,7464.2998046875,7480.89990234375,7409.89990234375,7409.89990234375,651300
2022-03-30,7514.5,7533.10009765625,7468.2998046875,7468.2998046875,713400
2022-03-31,7499.60009765625,7556.60009765625,7499.60009765625,7549.39990234375,825600
2022-04-01,7493.7998046875,7514.0,7476.7001953125,7509.7001953125,653800
2022-04-04,7513.7001953125,7536.7998046875,7508.0,7508.0,572300
2022-04-05,7527.89990234375,7573.39990234375,7509.2998046875,7509.2998046875,606200
2022-04-06,7490.10009765625,7504.0,7437.5,7504.0,713800
2022-04-07,7442.7998046875,7482.2998046875,7437.60009765625,7482.2998046875,644400
2022-04-08,7478.0,7492.2998046875,7453.7998046875,7456.2001953125,610100
2022-04-11,7485.2001953125,7524.89990234375,7471.2998046875,7488.7001953125,552400
2022-04-12,7454.0,7484.0,7430.7998046875,7474.60009765625,579000
2022-04-13,7479.0,7489.0,7459.89990234375,7461.5,646900
2022-04-14,7523.39990234375,7529.2001953125,7485.60009765625,7489.39990234375,683800
2022-04-19,7565.2001953125,7584.89990234375,7523.5,7523.5,585900
2022-04-20,7569.2001953125,7624.7998046875,7564.10009765625,7564.10009765625,640300
2022-04-21,7592.7998046875,7604.7001953125,7560.60009765625,7563.0,602200
2022-04-22,7473.2998046875,7546.2001953125,7455.0,7546.2001953125,749700
2022-04-26,7318.0,7413.2998046875,7290.7998046875,7410.0,847100
2022-04-27,7261.2001953125,7302.2001953125,7233.2998046875,7300.10009765625,827000
2022-04-28,7356.89990234375,7356.89990234375,7298.10009765625,7303.0,729400
2022-04-29,7435.0,7435.0,7360.5,7360.7001953125,748500
